delay (ms),servers,commands (in parallel),time (sec)
10,1,20,0.133860111237
10,1,50,0.168458938599
10,1,100,0.227036952972
10,3,20,0.407356023788
10,3,50,0.506901025772
10,3,100,0.7369120121
20,1,20,0.323642015457
20,1,50,0.258880853653
20,1,100,0.31645989418
20,3,20,0.614457130432
20,3,50,1.04935503006
20,3,100,1.70540809631
50,1,20,0.825081110001
50,1,50,0.609895944595
50,1,100,0.847208023071
50,3,20,1.75150895119
50,3,50,2.73295903206
50,3,100,3.86372303963
100,1,20,1.21137189865
100,1,50,1.05349588394
100,1,100,1.16416716576
100,3,20,6.42954993248
100,3,50,7.93420386314
100,3,100,8.72773480415
